date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,status,alive3
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,4,1,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,6,1,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,7,0,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,7,0,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C1,7,0,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,1,1,FALSE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,5,1,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,7,0,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,7,0,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,PBS,0,PBS-PBS Control,C2,7,0,TRUE
6/20/2021,Alexa,Exp2_Summer2021,PBS,0,P.rett,0.01,PBS-P.rett 0.01,1,1,1,FALSE
