date,scientist,rep,primary,secondary,secondary_dose,vial,day,status,alive3,average.0.hour,average.10.hour
6/18/2018,Frank,1,PBS,P.rett,0.01,3,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,2,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,6,1,TRUE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,7,0,TRUE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.01,3,7,0,TRUE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,1,1,FALSE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,7,0,TRUE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,7,0,TRUE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,7,0,TRUE,NA,NA
6/18/2018,Frank,1,PBS,P.rett,0.1,9,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,6,1,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.01,15,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,1,1,FALSE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,1,1,FALSE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,1,1,FALSE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,1,1,FALSE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,6,1,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,NA,NA
6/18/2018,Frank,1,E.fae,P.rett,0.1,19,7,0,TRUE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,1,1,FALSE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,2,1,FALSE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,7,0,TRUE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.01,4,7,0,TRUE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,NA,NA
6/20/2018,Frank,2,PBS,P.rett,0.1,5,1,1,FALSE,NA,NA
