date,scientist,rep,primary,secondary,secondary_dose,vial,day,hour,status,alive3
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,19,12.5,1,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C1,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,2,10,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,5,22.5,1,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,PBS,NA,C2,21,14,0,TRUE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,9,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,9,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,9,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,9,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,11,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,11,1,FALSE
30-Jan,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,23,1,FALSE
