replicate,scientist,primary,secondary,mortality,survival,zeroCFU_equiv,CFU_equiv,
I,abby,control,p.rett 0.01,0.571428571,0.428571429,640.2131825,975.9559469,
I,abby,control,p.rett 0.1,0.428571429,0.571428571,1126.56913,46472.57278,
I,abby,control,p.rett 1.0,1,0,1675.393646,293197.1443,
I,abby,control,p.rett 2.0,1,0,3775.709223,2605992.74,
I,abby,s.m 0.1,p.rett 0.01,0.2,0.8,257.9348877,1243.067616,
I,abby,s.m 0.1,p.rett 0.1,0,1,955.9098253,5797.703315,
I,abby,s.m 0.1,p.rett 1.0,0.058823529,0.941176471,6523.841976,5714.233398,
I,abby,s.m 0.1,p.rett 2.0,0.222222222,0.777777778,7812.487848,4925.815234,
II,abby,control,p.rett 0.01,0.6,0.4,202.732588,22168.53274,
II,abby,control,p.rett 0.1,0.421052632,0.578947368,832.0118022,84348.62856,
II,abby,control,p.rett 1.0,0.941176471,0.058823529,4793.676734,1622937.924,
II,abby,control,p.rett 2.0,1,0,6410.193306,1358422.684,
II,abby,s.m 0.1,p.rett 0.01,0.444444444,0.555555556,514.7697127,2974.149566,
II,abby,s.m 0.1,p.rett 0.1,0.153846154,0.846153846,788.1194914,24601.78259,
II,abby,s.m 0.1,p.rett 1.0,0.3125,0.6875,3642.738424,524149.8005,
II,abby,s.m 0.1,p.rett 2.0,0.363636364,0.636363636,12438.11384,284407.4291,
III,abby,control,p.rett 0.01,0.666666667,0.333333333,199.3611632,4452.147254,
III,abby,control,p.rett 0.1,1,0,360.7860927,60541.68085,
III,abby,control,p.rett 1.0,1,0,4908.402316,240312.7196,
III,abby,control,p.rett 2.0,0.947368421,0.052631579,10573.60493,690214.0415,
III,abby,s.m 0.1,p.rett 0.01,0.363636364,0.636363636,412.5454264,933.5081571,
III,abby,s.m 0.1,p.rett 0.1,0.235294118,0.764705882,3616.957654,2698.836372,
III,abby,s.m 0.1,p.rett 1.0,0.428571429,0.571428571,6926.86832,273653.1166,
III,abby,s.m 0.1,p.rett 2.0,0.4,0.6,7833.673191,232061.1577,
IV,abby,control,p.rett 0.01,0.647058824,0.352941177,1187.806378,8201.486214,
IV,abby,control,p.rett 0.1,0.789473684,0.210526316,1403.299615,107895.5783,
IV,abby,control,p.rett 1.0,0.894736842,0.105263158,5572.950263,2199119.402,
IV,abby,control,p.rett 2.0,1,0,8579.951842,2214793.288,
IV,abby,s.m 0.1,p.rett 0.01,0.15,0.85,3374.107121,1374.002034,
IV,abby,s.m 0.1,p.rett 0.1,0.133333333,0.866666667,1916.625972,174.843419,
IV,abby,s.m 0.1,p.rett 1.0,0.176470588,0.823529412,9906.634394,47202.70563,
IV,abby,s.m 0.1,p.rett 2.0,0.25,0.75,12554.00725,307238.9624,
V,abby,control,p.rett 0.01,0.55,0.45,84.82032438,7655.156537,
V,abby,control,p.rett 0.1,0.823529412,0.176470588,690.4979712,211303.6306,
V,abby,control,p.rett 1.0,1,0,3615.709323,954012.3904,
V,abby,control,p.rett 2.0,0.947368421,0.052631579,14430.49562,1103905.864,
V,abby,s.m 0.1,p.rett 0.01,0.1875,0.8125,84.33288452,54.4072935,
V,abby,s.m 0.1,p.rett 0.1,0.357142857,0.642857143,568.1669162,3764.904351,
V,abby,s.m 0.1,p.rett 1.0,0.5,0.5,6198.965935,2482.906647,
V,abby,s.m 0.1,p.rett 2.0,0.307692308,0.692307692,18253.72619,2395.650842,
III_F,frank,control,p.rett 0.001,0.5,0.5,100.5,7978.905732,
III_F,frank,control,p.rett 0.01,0.888888889,0.111111111,343.5,67120.19325,
III_F,frank,control,p.rett 0.1,0.782608696,0.217391304,3628,395389.8466,
III_F,frank,control,p.rett 1.0,0.846153846,0.153846154,19020.5,1843209.8,#NEED TO FIX DOSE
III_F,frank,s.m 0.1,p.rett 0.001,0.526315789,0.473684211,567.5,4593.026911,
III_F,frank,s.m 0.1,p.rett 0.01,0.590909091,0.409090909,724,19892.89055,
III_F,frank,s.m 0.1,p.rett 0.1,0.35,0.65,2767.5,81170.40761,
III_F,frank,s.m 0.1,p.rett 1.0,0.576923077,0.423076923,16063.5,952166.0195,
VIII_F,frank,control,p.rett 0.001,0.571428571,0.428571429,100.7,6749.28737,
VIII_F,frank,control,p.rett 0.01,0.470588235,0.529411765,175.5,38303.79082,
VIII_F,frank,control,p.rett 0.1,0.833333333,0.166666667,1187.5,207195.9257,
VIII_F,frank,control,p.rett 1.0,1,0,9039,817227.3834,
VIII_F,frank,s.m 0.1,p.rett 0.001,0.5,0.5,104.5,4706.219826,
VIII_F,frank,s.m 0.1,p.rett 0.01,0.2,0.8,789,7283.077288,
VIII_F,frank,s.m 0.1,p.rett 0.1,0.6,0.4,1281,129084.197,
VIII_F,frank,s.m 0.1,p.rett 1.0,0.882352941,0.117647059,8493,448890.1802,
IV_F,frank,control,p.rett 0.001,0.428571429,0.571428571,1037.5,2999.307698,
IV_F,frank,control,p.rett 1.0,1,0,20279,4674065.792,
IV_F,frank,s.m 0.1,p.rett 0.001,0.214285714,0.785714286,603.5,229.0525313,
IV_F,frank,s.m 0.1,p.rett 1.0,0.380952381,0.619047619,19579.5,39821.28191,
VI_F,frank,control,p.rett 0.01,0.6,0.4,146,13912.50988,
VI_F,frank,control,p.rett 0.1,0.875,0.125,1132.5,190491.9007,
VI_F,frank,s.m 0.1,p.rett 0.01,0.36,0.64,271.5,4296.662572,
VI_F,frank,s.m 0.1,p.rett 0.1,0.333333333,0.666666667,1006.5,17046.69606,
IX_F,frank,control,p.rett 0.001,0.5,0.5,615,8271.133723,
IX_F,frank,control,p.rett 0.01,0.769230769,0.230769231,602,34671.89234,
IX_F,frank,control,p.rett 0.1,0.740740741,0.259259259,2674.5,356523.5818,
IX_F,frank,control,p.rett 1.0,1,0,19132,1947850.427,
IX_F,frank,s.m 0.1,p.rett 0.001,0.357142857,0.642857143,486.5,670.0374953,
IX_F,frank,s.m 0.1,p.rett 0.01,0.375,0.625,521,4098.459497,
IX_F,frank,s.m 0.1,p.rett 0.1,0.347826087,0.652173913,2541,90878.1331,
IX_F,frank,s.m 0.1,p.rett 1.0,0.666666667,0.333333333,19308,272147.3455,
