date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,status,alive3,dead<3
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,9,1,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C1,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,1,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,Control,C2,10,0,TRUE,FALSE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,2,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,2,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,2,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,2,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,2,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C3,3,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C4,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C4,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C4,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C4,1,1,FALSE,TRUE
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS Control,C4,2,1,FALSE,TRUE
