date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,status
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C3,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,2,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,1,7,0
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,2,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,2,2,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,1,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,2,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,2,1
6/16/2021,Abby,Summer 2021 exp 1,PBS,0,P.rett,0.1,PBS-P.rett 0.1,3,7,0
